[MPEG:feedES] #0 size=64 first4=000001b3 decoderFailed=0 waitSeq=1
[MPEG:feedES] #22 size=1 first4=ff decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #23 size=1 first4=f3 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #24 size=1 first4=41 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #25 size=1 first4=80 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #26 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #27 size=1 first4=00 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #28 size=1 first4=01 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #29 size=1 first4=01 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #30 size=1 first4=13 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[MPEG:feedES] #31 size=1 first4=f8 decoderFailed=0 waitSeq=0
[MPEG:feed] inSize=1 parsed=1 packets=0 newFrames=0 totalFrames=0
[mpeg2video @ 0x75aec64000] end mismatch left=544 7294A4 at 0 28
[mpeg2video @ 0x75aec64000] Warning MVs not available
THRESHOLD mode=byte bytes=5040 AddBsCalls=4977 consumed=5040 parserCalls=4977 packets=0 frames=0 firstPacketAtFed=0 firstFrameAtFed=0 eofSends=0
THRESHOLD mode=byte bytes=5525 AddBsCalls=5462 consumed=5525 parserCalls=5463 packets=1 frames=0 firstPacketAtFed=5525 firstFrameAtFed=0 eofSends=0
# E21 ACTUAL PARSER FIXTURE TAIL COMPLETE boot=0 bytesFed=5525 available=16384 mode=byte saved128=1
